id,1995,2000,2005,2010,2015
ABW,-0.43712330998533966,-0.5184111515450565,-0.5063159050966608,-0.4718833680452246,-0.4127896451846488
AFG,0.9696279418804886,0.9734765605727641,0.9655623140602685,0.9711327517965452,0.8601020438928157
AGO,0.9055258111485014,0.9152509739591757,0.8590648651310929,0.811374946804699,0.7209442207791201
ALB,0.7740839007341581,0.8465689223282665,0.8870753023685742,0.9186220017643161,0.9124771459398331
AND,-0.8090719215401381,-0.760617596393101,-0.7880991735537191,-0.7493796089336313,-0.6797241846101781
ARE,-0.8954959107814625,-0.9106087860335544,-0.9360824327561228,-0.9662532296225724,-0.9663416188765159
ARG,-0.5199651949195032,-0.4514992409095564,-0.33536844430672946,-0.309064265996896,-0.3695249692716321
ARM,0.15802973081558858,0.16469971627741434,0.3386963637389718,0.647312123792811,0.6931713080046823
ASM,-0.7824986153967877,-0.7612588171459577,-0.7938758579078362,-0.8432664074279819,-0.8367494284224459
ATG,0.3533013205282113,0.3660171495727116,0.3876073347012926,0.40994485576298606,0.4183869024804249
AUS,-0.8466961528862427,-0.8378514812214589,-0.836749046701206,-0.8453694337245306,-0.8537046218546982
AUT,-0.2937750741337928,-0.3557865412696718,-0.38065632264691573,-0.39592346153551655,-0.4431788128140005
AZE,0.6678818932217039,0.6670600251373981,0.6567140768523575,0.6222137817429682,0.6282047095404755
BDI,0.4350490875079482,0.7367365731065814,0.5943086530806373,0.13122049844537884,0.036920524647558496
BEL,-0.397826722760917,-0.35520048665579457,-0.32065116652661757,-0.3591565589861404,-0.4423275664844311
BEN,0.5094102712315356,0.4770767365864226,0.46730378425880154,0.4869384758568464,0.4947882218303663
BFA,0.4981289774273764,0.43491252220661686,0.40367752240318683,0.3762973169343723,0.37645156325839635
BGD,0.7689179894943596,0.7502861596044119,0.7188102803968317,0.7174592279178449,0.7198149961482394
BGR,0.9106909342248425,0.8859359680346127,0.8775403690206743,0.8762299574715376,0.8418564016170397
BHR,-0.7429818169199806,-0.659028132626772,-0.7740438985144308,-0.8438656007039522,-0.8507724162021415
BHS,-0.03514773451386793,-0.03781584827823297,-0.14362497781608904,-0.218538412927688,-0.18776148503188594
BIH,0.9051270582606072,0.8940799440699796,0.9398392930337114,0.9537054692168845,0.9595151696443304
BLR,0.19208107326652152,0.20343555306753153,0.18023410836177475,0.15118081116169707,0.15677289269740496
BLZ,0.11297162414606543,0.14044828295290973,0.11261890361247044,0.09919522921507425,0.06629155463755987
BMU,0.4461165297302837,-0.10600592859904627,-0.09075157028373403,-0.061432846329871504,-0.03599604128375512
BOL,0.5472121919406878,0.5797617319703535,0.6740236905422913,0.7333112321976465,0.7029213138564878
BRA,0.01831845032335377,0.18517843504825385,0.31725149891981125,0.4407947225781654,0.36694002705357676
BRB,0.6248535016564695,0.6193497635739663,0.6293390965607407,0.6480680533371619,0.6532484269577742
BRN,-0.40788315292578836,-0.3610429622867576,-0.3725446051668824,-0.37395835487272805,-0.37530652363356326
BTN,0.6393766385491061,0.6025761671171622,0.5192843147365165,0.3159714536503454,-0.033887188456493224
BWA,-0.2048180437786839,-0.29469141246108416,-0.4286057892448449,-0.40988914025648343,-0.4150894217659796
CAF,-0.21479016868086603,-0.22770480590723188,0.32218678034941317,0.5564530102496434,0.76487773099808
CAN,-0.6469671992746965,-0.6604641922238593,-0.6776964088511936,-0.7014867079971239,-0.7175605418458945
CHE,-0.5927586934739202,-0.6000488100108461,-0.5411784632416481,-0.5077482335089977,-0.5506594848912504
CHL,0.5518944286507653,0.4815782582043063,0.32583091687932697,0.20858594730775987,0.13218304714878823
CHN,0.8687316433099639,0.873064035559029,0.8582546062071625,0.8479683815199142,0.8428483350669849
CIV,-0.6367880980249542,-0.5651697787955,-0.4744473383305806,-0.44139506085555563,-0.4228235582470533
CMR,-0.185231145521415,-0.06333440881781002,-0.06767415509461218,-0.001971836525277228,-0.07175322382452225
COD,-0.4980238579417188,0.25002011482368514,0.4245762203344343,0.4638296204218771,0.5232215800326508
COG,-0.2505937482103334,-0.39676727153986097,-0.30539426211829646,-0.35473795536988045,-0.26772804107346265
COL,0.8374316678662476,0.8573939123505142,0.8912849987433582,0.9052808595887801,0.9042095306690039
COM,0.448254349130174,0.4845458868283405,0.6081851365687879,0.6547812531095559,0.6794407843865021
CPV,0.8452629220454663,0.8421176435995825,0.845103783988359,0.8417988869722108,0.8496462132541684
CRI,-0.41885222810757794,-0.4858141823558793,-0.2597128297781651,-0.5049744937156203,-0.5073699395239593
CUB,0.9513405964659447,0.9703172840881588,0.9731679501129991,0.977885373304172,0.9823583164459602
CYM,-0.894453207150368,-0.8777076250607091,-0.8897774687065368,-0.8917309726193741,-0.8764031667257474
CYP,0.4515081454555174,0.3168971427834985,0.13834586466165413,-0.07227197174917036,-0.04685184338428517
CZE,0.3325936367297624,0.28742087140242084,0.32505692211632087,0.3764337802906777,0.39420346404803713
DEU,-0.372193164583709,-0.4437331352130749,-0.4787797006978268,-0.5031050099722238,-0.49545538854123516
DJI,-0.862295537557567,-0.8254024975613525,-0.7528897346100123,-0.7497801553568811,-0.7379738088970782
DMA,0.8631934979049927,0.8555638434935919,0.8713048671245148,0.868692144743333,0.8449415278167921
DNK,-0.187176641238409,-0.2603623534125773,-0.3200634676151849,-0.36310776165129915,-0.39083216688051636
DOM,0.3350540229730665,0.42165836657863914,0.45492743168852995,0.49307015819824773,0.5209258853802491
DZA,0.840869536161458,0.8620106116320791,0.873933780018012,0.8441595702262389,0.8562870091111497
