id,1995,2000,2005,2010,2015
KNA,25645.0,32465.0,34560.0,37033.0,40175.0
KOR,1895752.0,2163686.0,2479005.0,3143797.0,3629554.0
KWT,990155.0,1199189.0,1394317.0,1939516.0,2933176.0
LAO,556994.0,660171.0,904880.0,1203881.0,1362297.0
LBN,1132870.0,1245791.0,1369901.0,1531422.0,2793458.0
LBR,737663.0,397225.0,439829.0,352527.0,384858.0
LBY,582147.0,644846.0,724357.0,813120.0,908899.0
LCA,31487.0,41724.0,49587.0,53839.0,58836.0
LIE,16492.0,18275.0,21661.0,25308.0,27134.0
LKA,964336.0,1018805.0,1177693.0,1475400.0,1674342.0
LSO,141902.0,124245.0,147940.0,229497.0,367744.0
LTU,604293.0,554197.0,612395.0,653555.0,679968.0
LUX,155786.0,171819.0,197027.0,220660.0,310198.0
LVA,767159.0,669146.0,649936.0,625039.0,600951.0
MAC,307479.0,325456.0,374675.0,425936.0,458589.0
MAR,1777122.0,1990087.0,2426673.0,2838358.0,2906972.0
MCO,16477.0,16822.0,30303.0,37507.0,39598.0
MDA,975521.0,843088.0,887714.0,985961.0,1027175.0
MDG,72777.0,78451.0,147957.0,157906.0,171164.0
MDV,19622.0,27321.0,44629.0,72432.0,91629.0
MEX,7180286.0,9865530.0,11226085.0,12795424.0,13528133.0
MHL,5614.0,8779.0,8874.0,9168.0,10076.0
MKD,598752.0,655372.0,587548.0,608069.0,645395.0
MLI,946488.0,860514.0,936076.0,1066202.0,1248276.0
MLT,127291.0,126181.0,124573.0,130353.0,143369.0
MMR,910976.0,1207250.0,1787465.0,2503045.0,2945749.0
MNE,146089.0,181291.0,150235.0,209795.0,220087.0
MNG,34230.0,37987.0,53189.0,74049.0,76366.0
MNP,34015.0,41639.0,39033.0,26001.0,23618.0
MOZ,900171.0,750016.0,757147.0,817886.0,863277.0
MRT,239168.0,160787.0,154881.0,169945.0,224855.0
MUS,116162.0,127058.0,141917.0,171378.0,190246.0
MWI,328057.0,366748.0,398017.0,441495.0,470073.0
MYS,1705956.0,2369285.0,2963295.0,3841176.0,4154316.0
NAM,140488.0,180389.0,163464.0,193457.0,237728.0
NCL,38417.0,43354.0,47890.0,52478.0,55268.0
NER,301813.0,306149.0,372128.0,425781.0,514435.0
NGA,879223.0,1034721.0,1363145.0,1806976.0,2166615.0
NIC,457620.0,525831.0,463386.0,633940.0,677518.0
NLD,2006592.0,2224549.0,2444854.0,2632513.0,2852743.0
NOR,374640.0,441563.0,525929.0,699836.0,909833.0
NPL,1508011.0,1651726.0,1769737.0,1933433.0,2126497.0
NRU,4171.0,4042.0,4226.0,4357.0,4915.0
NZL,949100.0,1110202.0,1336069.0,1549887.0,1779125.0
OMN,535167.0,612091.0,656458.0,804003.0,1774093.0
PAK,7004278.0,7571330.0,7060590.0,8957167.0,9561226.0
PAN,200710.0,217686.0,245995.0,291629.0,326906.0
PER,556990.0,756612.0,1053706.0,1395415.0,1498783.0
PHL,2625805.0,3264732.0,3847854.0,4810105.0,5472356.0
PLW,8194.0,9978.0,9050.0,8004.0,7840.0
PNG,36165.0,28499.0,33181.0,28833.0,29504.0
POL,2705313.0,2845165.0,3706323.0,4770895.0,5062084.0
PRI,1689644.0,1907441.0,1933626.0,1937045.0,2027603.0
PRK,86554.0,104341.0,125655.0,147961.0,159190.0
PRT,2620613.0,2816086.0,2693119.0,2844405.0,3125071.0
PRY,517083.0,547074.0,709141.0,920899.0,998264.0
PSE,2534219.0,2920206.0,3063623.0,3363614.0,3784015.0
PYF,28498.0,30784.0,30938.0,28874.0,27600.0
QAT,366651.0,363888.0,641489.0,1426415.0,1676911.0
ROU,1096329.0,1248252.0,2272854.0,3499995.0,3612098.0
RUS,23590130.0,22703916.0,22200304.0,21625162.0,22219473.0
RWA,2276296.0,659467.0,697072.0,745847.0,748095.0
SAU,5081396.0,5240231.0,6464063.0,8374664.0,10112797.0
SDN,1765078.0,1626493.0,1679946.0,1548130.0,1524672.0
SEN,605606.0,584828.0,672749.0,770842.0,806353.0
SGP,960943.0,1404872.0,1753423.0,2201049.0,2575004.0
SLB,6710.0,6718.0,6145.0,5745.0,6084.0
SLE,561066.0,605311.0,294544.0,230700.0,235318.0
SLV,951255.0,960134.0,1126683.0,1319255.0,1478287.0
SMR,6186.0,7564.0,7146.0,6621.0,7008.0
SOM,916907.0,1004113.0,1157293.0,1597475.0,1998409.0
SRB,1551012.0,1989043.0,1802214.0,1701533.0,1771528.0
STP,23853.0,29164.0,32838.0,33488.0,38209.0
SUR,189123.0,211740.0,248624.0,255223.0,261886.0
SVK,261196.0,367886.0,406495.0,447355.0,518177.0
SVN,283191.0,289792.0,319835.0,383747.0,376124.0
SWE,1080180.0,1173831.0,1305249.0,1593142.0,1856210.0
SWZ,53414.0,53203.0,62822.0,87990.0,120178.0
SYC,23744.0,15407.0,18366.0,21748.0,24190.0
SYR,952786.0,1001644.0,1416228.0,2365949.0,5508490.0
TCA,7643.0,8283.0,9591.0,10919.0,11822.0
TCD,350906.0,304578.0,545238.0,598117.0,706610.0
TGO,397170.0,388120.0,512821.0,616800.0,702459.0
THA,1219549.0,1784434.0,2794495.0,3993544.0,4766613.0
TJK,873459.0,800275.0,828519.0,865694.0,864603.0
TKM,513630.0,440326.0,440816.0,434087.0,436884.0
TLS,88503.0,157802.0,104558.0,44536.0,46947.0
TON,38983.0,47492.0,49441.0,52559.0,58287.0
TTO,288490.0,340695.0,357441.0,380037.0,405589.0
TUN,499457.0,509795.0,604182.0,641185.0,696804.0
TUR,3746141.0,3987964.0,4043390.0,4207660.0,5965850.0
TUV,3132.0,2931.0,3240.0,3548.0,3724.0
TZA,1332084.0,1140238.0,999978.0,567012.0,548043.0
UGA,1082253.0,1184192.0,1206924.0,1082912.0,1292515.0
UKR,11388024.0,10745202.0,10287059.0,9976402.0,10320019.0
URY,319883.0,316572.0,373010.0,404369.0,415507.0
USA,27722670.0,34494917.0,38421580.0,42894319.0,46533333.0
UZB,2979697.0,2930799.0,3009258.0,3053435.0,3085125.0
VCT,48746.0,56835.0,58903.0,58988.0,64052.0
VEN,1257493.0,1328613.0,1501805.0,1878821.0,2007397.0
VGB,12269.0,13879.0,15229.0,16606.0,18113.0
VIR,49494.0,54904.0,55693.0,56366.0,56479.0
VNM,1576792.0,1902858.0,2109779.0,2364134.0,2626265.0
VUT,7347.0,7886.0,9317.0,10169.0,10861.0
WSM,85866.0,99827.0,104115.0,108610.0,117550.0
YEM,590267.0,641672.0,769822.0,1131429.0,1319139.0
ZAF,1353960.0,1478615.0,1796438.0,2630879.0,3561074.0
ZMB,372833.0,475568.0,405802.0,340346.0,345248.0
ZWE,645858.0,672449.0,729854.0,952677.0,1113398.0
