id,name,1995,2000,2005,2010,2015
ABW,Aruba,16441.79063619155,20620.70062591747,23302.831988005517,24271.94042052671,0.0
AFG,Afghanistan,0.0,0.0,250.29412990949032,553.3002893830633,584.0259020557797
AGO,Angola,353.18204509916956,555.2969418633338,1443.9919285637386,3529.053481737571,3695.7937481465524
ALB,Albania,760.5593757740926,1175.7889807947067,2709.14293061386,4094.358831919166,3954.022783260093
AND,Andorra,18461.064858151134,21435.926404127084,41185.98902069319,39627.66351633992,0.0
ARE,United Arab Emirates,26847.080053194968,33071.26868694216,39439.801967928375,35049.148316783714,39101.74689010544
ARG,Argentina,7373.428245682346,7669.273915540658,5076.883829172905,10276.260497705347,13467.102357002184
ARM,Armenia,456.37589974066486,622.7427476879828,1643.7583970639653,3218.3816548846544,3609.654775826634
ASM,American Samoa,0.0,0.0,8508.406914983592,10352.822761831156,11541.854979563173
ATG,Antigua and Barbuda,7841.464034294693,9875.161735721167,11371.938945096186,12126.876139299395,13566.90540605156
AUS,Australia,20384.669289051737,21690.92099854185,34016.71483048218,51874.080481995756,56554.03876124464
AUT,Austria,30252.794692404066,24517.267446014677,38242.04251746992,46657.062900495665,43665.009470796525
AZE,Azerbaijan,397.1981161172466,655.0974326025855,1578.4023902960253,5842.805783585757,5500.310382444075
BDI,Burundi,167.79917167616955,135.99844546572473,150.50704336876552,231.19432564921584,303.68102225446523
BEL,Belgium,28565.946149514282,23207.40591100773,36967.28292042967,44380.237410758535,40356.875002697045
BEN,Benin,367.3873410325985,374.1923941592344,601.7999769588743,757.6959074093772,783.9470909524221
BFA,Burkina Faso,235.83219729976915,226.4759813669796,406.99880706062316,575.4464526877339,615.592225011518
BGD,Bangladesh,319.6086943559299,405.6033071417671,484.1554070579915,757.6717571768909,1210.158120466689
BGR,Bulgaria,1554.0469305143058,1609.2805861651993,3893.6899804990667,6843.263288853154,6993.477359757277
BHR,Bahrain,10376.934887500138,13636.346683779788,17959.178537354135,20722.10388955073,22688.87824429681
BHS,"Bahamas, The",12239.871497412101,21241.236698110042,23405.45301580263,21921.559063497694,22888.13405094639
BIH,Bosnia and Herzegovina,485.61727666814267,1461.7505204702863,2968.4118061197187,4611.470298117077,4574.090787351331
BLR,Belarus,1370.672042729223,1276.2880340999998,3126.0717666524797,6030.388706665914,5949.110677498225
BLZ,Belize,2996.3829283495115,3364.423710652407,3933.332215464016,4344.150176612522,4849.997495045757
BMU,Bermuda,33989.72235798212,56284.16864780942,75882.03385603392,88207.3275597322,0.0
BOL,Bolivia,887.4685242565847,1007.0028688845091,1046.4273841431666,1981.1607045043668,3077.026199171576
BRA,Brazil,4840.787782232047,3739.1190359678976,4770.182746288206,11224.154082935484,8757.20620228722
BRB,Barbados,8537.158561079828,11568.110106752605,14223.865763013515,15905.912315027776,15557.830812372236
BRN,Brunei Darussalam,15929.163761766433,18008.44825896123,26102.133454211904,35268.10117035805,30967.890506377084
BTN,Bhutan,588.5939027050092,765.8632357656954,1247.0613916089617,2178.9213830796643,2613.6451768164916
BWA,Botswana,3014.8678581541835,3349.068822776508,5351.253731716462,6346.156203873508,6532.060501367646
CAF,Central African Republic,332.677377160772,243.54293174382914,327.11494607892615,446.4434493752064,348.3814170337146
CAN,Canada,20577.48938588952,24124.169174630984,36189.58838402636,47447.47602419348,43315.70044181267
CHE,Switzerland,48540.57749459521,37813.23425679493,54797.54663457403,74276.71841594248,80989.84023583055
CHL,Chile,5137.375077530839,5101.368478575171,7615.304679914132,12860.177644746942,13653.22639987325
CHN,China,609.6567653069515,959.3721081053899,1753.4178000746786,4560.512487100908,8069.211937731144
CIV,Cote d'Ivoire,756.5011353896823,642.2547139992416,931.7542869713432,1219.7490955152093,1420.6268843887688
CMR,Cameroon,648.7805569445726,608.0414399345781,952.187248439454,1182.8692270126553,1244.4294205696401
COD,"Congo, Dem. Rep.",135.67347808990627,405.4696530937495,218.52350917279747,318.0757515965521,474.93604810640477
